title,tag,area,dd,price
富力又一城A区 南北错层三居室 满五年唯一 无遮挡,必看好房,富力又一城A区 ,豆各庄,850
低层板楼，满五年唯一住房，楼层好，不临街，无遮挡,必看好房,万象新天四区 ,常营,725
九台2000家园 精装修3居室，可直接拎包入住。,必看好房,九台2000家园 ,亚运村,958
满五年 南北通透 边户花园 楼间距宽 采光好 精装修,必看好房,美树假日嘉园 ,北七家,809
望京新城明厨明卫大3居格局方正看房随时,必看好房,望京新城 ,望京,963
国风北京一期板楼三居室，高楼层边户明卫，前后不临街,必看好房,国风北京一期 ,望京,1480
远见名苑商品房三居室，下楼就是花园，近地铁,必看好房,远见名苑 ,广安门,1340
西环内 永安东里 方正三居室 不临街 无遮挡 诚意出售,必看好房,永安东里 ,定慧寺,890
珠江绿洲 普宅三居 精装修 满五年唯一,必看好房,珠江绿洲 ,双桥,635
星瑞家园  电梯三居室 电梯房 电梯房 看房随时 有钥匙,必看好房,星瑞家园 ,黄村中,520
商品房 满五年唯一，南北通透，采光充足,必看好房,天通苑中苑 ,天通苑,612
亿城天筑 带电梯南北向 飘窗 三居室,必看好房,亿城天筑 ,科技园区,870
中海金石公馆 精装三居室 全明格局 中间位置,必看好房,中海金石公馆 ,古城,970
高家园三区精装一居 电梯房高层 近地铁 有钥匙 朝南向,必看好房,高家园三区 ,酒仙桥,305
西向高楼层满五唯一急售房源随时约谈,必看好房,华发颐园 ,北苑,289
南北通透两居 前后不临街 视野好无遮挡,必看好房,瑞祥里 ,管庄,388
皂君东里  皂君庙 中间层 正规三居户型方正双卧朝南户,必看好房,皂君东里 ,皂君庙,820
满五唯一，小区东边，高楼层，采光好视野好,必看好房,首开康乃馨城 ,枣园,350
满五年唯一，南北通透，4室3厅3卫，户型方正，,必看好房,国英园 ,官园,2080
首开璞瑅  四居室眼镜户型  人车分流 高档社区,必看好房,首开璞瑅 ,方庄,1420
天际高尔夫 方正三居 精装修 业主急售 报价可聊,必看好房,万象新天天际高尔夫 ,常营,899
龙禧苑二区  不临街  南北通透,必看好房,龙禧苑二区 ,回龙观,655
盛世嘉园高层东南向大两居精装修,必看好房,盛世嘉园 ,CBD,890
2002年的纯商品房，独门独院物业负责管理好,必看好房,农光里 ,劲松,660
在水一方 电梯房 三居室 南北通透 满五唯一,必看好房,在水一方 ,万达,540
阳光丽景 满五唯一商品房，南北通透，看房方便,必看好房,阳光丽景 ,马甸,2546
白纸坊  中加 南北通透 高楼层 采光视野无遮挡 有车位,必看好房,中加大厦 ,白纸坊,1588
合生滨江帝景二期 全明南北三居 次新房不怎么住,必看好房,合生滨江帝景二期 ,玉桥,750
满五唯一 两个明卫 不临街 采光好 交通便捷,必看好房,富力又一城A区 ,豆各庄,860
魏公村 韦伯豪家园 南北向三居室 业主诚心出售,必看好房,韦伯豪家园 ,魏公村,1780
左安漪园满五年唯一双阳台三居两卫,必看好房,左安漪园 ,左安门,1200
馨港庄园二区 精装修 一层花园 南北通透 分区清晰,必看好房,馨港庄园二区 ,李桥,428
翡翠城二期 边户别墅 满五年唯一 诚心卖随时签约,必看好房,翡翠城二期 ,高米店,1200
二环边  丽泽商务区  精装三居  高楼层无遮挡视野好,必看好房,金泰城丽湾 ,菜户营,1400
珠江帝景   高层  景观     精装,必看好房,珠江帝景 ,大望路,1350
天缘公寓 东南三居室两卫 全明格局 电梯直达,必看好房,天缘公寓 ,白纸坊,1480
东晶国际复式两居，精装自住满五唯一靠谱出售看房方便,必看好房,东晶国际 ,亦庄,570
柏儒苑 高楼层 南北向3居室  满5年唯一住宅 诚意出售,必看好房,柏儒苑 ,学院路,1280
德茂小区  南北通透  双卧南向  三居,必看好房,德茂小区 ,瀛海,308
水口子村51号院 精装修3居室 带电梯,必看好房,水口子村51号院 ,广安门,780
松榆西里 满五唯一 采光好，北一社区 楼道贴瓷砖，,必看好房,松榆西里 ,潘家园,423
映天朗5号公馆  商品房   1梯2户  人车分流,必看好房,映天朗 ,宋家庄,970
南北通透四居室 户型方正 三卧南向 满五唯一商品房,必看好房,恋日嘉园二期 ,草桥,1450
大成郡 3室2厅 南 北,必看好房,大成郡 ,岳各庄,1420
美景东方 全明户型三室两卫 正观小区花园,必看好房,美景东方 ,华威桥,889
洋房社区 全明格局 南北通透  临地铁,必看好房,雍景天成 ,苹果园,855
西翠芳庭满五唯一商品房精装修南北三居,必看好房,西翠芳庭 ,青塔,625
纯板楼，南北通透 视野采光好，精装修,必看好房,世华水岸C区 ,赵公口,1150
满五年唯一，高楼层，视野好，采光好，明厨明卫格局,必看好房,光熙家园二期 ,西坝河,1599
K2玉蘭湾 南北通透 精装平层四居室  园林社区 近城铁,必看好房,K2玉蘭湾 ,九棵树(家乐福),1400
庑殿家苑B区南北通透三居室，高楼层采光好,必看好房,庑殿家苑B区 ,旧宫,480
五棵松 永定路 家属大院 满五唯一 南北全明格局,必看好房,太平路44号院 ,五棵松,1099
带HUAYUAN，采光充足，业主诚意出售，交通便利,必看好房,百旺茉莉园 ,西北旺,1250
上京新航线  经典3+2  满五唯一  南北通透,必看好房,上京新航线 ,望京,1455
都市经典家园东南北两居 户型方正 视野佳,必看好房,都市经典家园 ,甘露园,980
右安门内 印钞厂宿舍南北通透3居 满五年唯一 随时签约,必看好房,新安北里 ,白纸坊,810
房子满五唯一，户型方正，南北通透，视野好，有电梯,必看好房,特区808 ,石佛营,862
京奥家园高楼层全明格局三居室，直通车库，满五唯一,必看好房,奥林匹克花园四期 ,东坝,975
店长推荐今典花园楼层好 视野开阔 采光充足 配套完善,必看好房,今典花园 ,小西天,885
前排6号楼 正对奥森 全明格局 双卧朝南,必看好房,世茂奥临花园 ,奥林匹克公园,1980
华润公元九里 精装大四居 大客厅 大面宽,必看好房,华润公元九里 ,高米店,2180
兴隆家园一梯两户 三面朝南 满五唯一 精装修,必看好房,兴隆家园 ,高碑店,735
五里店北里一区 3室1厅 南 北,必看好房,五里店北里一区 ,五里店,720
只有契税，随时看房，四卧室朝南，前后花园，小区中间,必看好房,流星花园一区 ,回龙观,1300
惠新里满五年唯一，双轨地铁，管理好，安静不临街,必看好房,惠新里小区 ,惠新西街,428
百万庄2号院双东全明，户型方正采光视野好,必看好房,百万庄2号院 ,阜成门,525
中海金石公馆优质两居，精装修视野开阔,必看好房,中海金石公馆 ,古城,653
果园九棵树别墅洋房电梯两居 环境优美 配套完善,必看好房,龙湖蔚澜香醍 ,九棵树(家乐福),508
新上两居室 低楼层 房龄新  双卧室朝南,必看好房,滨河东里南区 ,枣园,239
朝阳甜水园东里南北通透三居室中间楼层采光好,必看好房,甜水园东里 ,甜水园,520
御景山 1室1厅 北,必看好房,御景山 ,杨庄,326
草桥地铁站，南北三居，全明格局，全南卧室，绿化好,必看好房,草桥欣园三区 ,草桥,645
马家堡角门明厅两居  中间楼层  采光无遮挡,必看好房,角门东里 ,角门,310
首开常青藤二期  南侧带阳台 南北通透 全明格局,必看好房,首开常青藤二期 ,东坝,725
五棵松 太平路44号院 南北通透 中楼层 采光好 视野佳,必看好房,太平路44号院 ,五棵松,860
南北通透双卫，高楼层，近地铁，近奥莱，近公园,必看好房,芭蕾雨悦都南区 ,长阳,495
此房南北通透，全明格局，业主自住装修，诚心出售。,必看好房,住总万科橙 ,天宫院,426
西三环北路23号院中间楼层，南北通透，采光好,必看好房,西三环北路23号院 ,厂洼,660
东三环双井 户型方正，明厨明卫，带阳台，带储藏间,必看好房,黄木庄3号院 ,双井,415
大羊坊路79号 东南向 光线好 无遮挡,必看好房,大羊坊路79号 ,十里河,398
新景家园商品房 南北通透不临街 一梯三户 满五唯一,必看好房,新景家园东区 ,崇文门,940
松榆里  精装修  组合贷25年  有电梯,必看好房,松榆里 ,潘家园,315
弘善家园，全南一居室，精装修，随时签约,必看好房,弘善家园 ,潘家园,399
南庭新苑北区 南向两居 高层采光好  婚房装修,必看好房,南庭新苑北区 ,新宫,390
德外人定湖西里    公园边两居室,必看好房,人定湖西里 ,六铺炕,850
天鑫家园，双卧朝南，精装三居，配套齐全，交通方便,必看好房,天鑫家园 ,霍营,495
优质房源推荐石坊院小区，二层南北通透2居室,必看好房,石坊院 ,鼓楼大街,249
急售好房   精装修   纯南两居    户型方正  电梯房,必看好房,富力惠兰美居 ,潞苑,249
海棠湾一期 全向两居室，满五年唯一，不临街不把边,必看好房,海棠湾一期 ,临河里,439
高楼层 采光好 婚房装修 拎包入住 两室两厅户型好,必看好房,东土城路9号院 ,和平里,668
西城 什刹海，小石桥胡同11号院,必看好房,小石桥胡同11号院 ,六铺炕,758
满五年唯一住房 地铁口700米 中楼层,必看好房,空港吉祥花园 ,后沙峪,376
南北通透格局好 红莲北里经典两居室,必看好房,红莲北里 ,马连道,645
京汉旭城中高楼层 南北通透  一梯两户 明厨明卫,必看好房,京汉旭城 ,鲁谷,609
金隅万科城二期 满五唯一 采光好 视野开阔 随时看房,必看好房,金隅万科城二期 ,鼓楼大街,399
万科天空之城 南北通透 婚房装修 好楼层 拎包入住,必看好房,龙兴园北区 ,回龙观,475
瀛海家园融园D区、边户南北通透电梯两居室。,必看好房,瀛海家园融园D区 ,瀛海,325
方恒东景 2012年新社区 近地铁 有电梯 35%绿化,必看好房,方恒东景 ,临河里,389
【首付110万】【四环小三居】【着急出售】随时看房,必看好房,看丹路4号院 ,科技园区,285
玉林东里二区双南向二居室，户型方正，采光好,必看好房,玉林东里二区 ,右安门外,428
五里店南里低楼层，带明厅小三居。,必看好房,五里店南里 ,五里店,299
劲松南路    南向一居室    大客厅    采光好,必看好房,劲松南路 ,劲松,335
方庄南路18号院 东南正规两居室,必看好房,方庄南路18号院 ,成寿寺,436
六里屯北里近地铁全明格局三居！中间楼层不临街！,必看好房,六里屯北里 ,甜水园,448
马连道中里三区，朝南三室一厅，满五年房改房，没遮挡,必看好房,马连道中里 ,马连道,880
视野开阔，采光好风景房一览无余，俯瞰运河，电梯房,必看好房,合生滨江帝景一期 ,玉桥,575
兴海家园星苑     南北通透三居室,必看好房,兴海家园星苑 ,西红门,495
嘉铭桐城C区 东南两居室 满五年唯一 诚意出售,必看好房,嘉铭桐城C区 ,亚运村小营,939
滨河西里南区97年的房子不把边不临街4层满五唯一,必看好房,滨河西里南区 ,枣园,243
满五年唯一，南向2居，高层观景，自住精装，诚意出售,必看好房,北京新天地一期 ,常营,585
力源里 正规两居 满五年 楼层高 视野棒 采光好,必看好房,力源里 ,四惠,460
南苑北里三区，东西通透三居，诚心出售，随时看房,必看好房,南苑北里三区 ,和义,273
劲松磨房北里10号线14号线 明厅两居 南北通透 满五年,必看好房,磨房北里 ,北工大,397
对小区花园视野好，采光好，户型方正，业主诚意出售。,必看好房,国美第一城2号院 ,朝青,650
石景嘉园东南一居  正规一室一厅  满五年唯一  精装修,必看好房,石景嘉园 ,八角,208
富力盛悦居 南北通透三居室 一梯两户 电梯洋房,必看好房,富力盛悦居 ,旧宫,755
恒基中心 2室1厅 东,必看好房,恒基中心 ,建国门内,790
丰台区 蒲安西里 中间楼层 精装修 有正规客厅户型,必看好房,蒲安西里 ,蒲黄榆,382
人车分流 绿化30% 电梯洋房一梯二户,必看好房,首开香溪郡 ,通州其它,378
店长推荐，中高楼层电梯房，交通便利，配套齐全,必看好房,刘家窑东里 ,蒲黄榆,450
积水潭地铁300米 中间层两居  看房方便诚意出售,必看好房,新外大街31号院 ,小西天,452
正规一室一厅，窗外对着小区里边安静舒适,必看好房,远洋山水 ,鲁谷,519
小区楼龄新，人车分流车位充足，正规两居室，拎包入住,必看好房,庚坊国际 ,北太平庄,550
海子角南里 满五唯一 楼层好 视野佳,必看好房,海子角南里 ,观音寺,226
育新花园北里，房子楼层好产权清晰。,必看好房,育新花园北里 ,大兴新机场洋房别墅区,188
裕龙花园一区 南北通透 带阳台，西边窗，满五唯一,必看好房,裕龙一区 ,顺义城,390
近地铁经典正规一居室，商圈配套齐全，业主靠谱出售,必看好房,金隅丽景园 ,常营,226
定福家园3号院 3室1厅 南 北,必看好房,定福家园3号院 ,定福庄,560
东直门外柳芳南里正规大一居室，采光好，视野好,必看好房,柳芳南里 ,国展,420
燕山水泥厂 2室2厅 南 北,必看好房,燕山水泥厂 ,石景山其它,263
六营门，低楼层，南北两居室，精装修,必看好房,六营门小区 ,万源,370
十佳物业2层两居南北通透采光视野好适合有老人家庭,必看好房,望都新地 ,北七家,378
芳源里  南北通透  电梯两居 全明户型,必看好房,芳源里 ,旧宫,440
五矿家属楼，中间层，费用少，交通便利,必看好房,西三环北路23号院 ,厂洼,640
南中轴 康泽园 2000年商品房 满五唯一 明厅,必看好房,康泽园 ,赵公口,523
住欣家园东区 正规两居室 草房地铁站,必看好房,住欣家园 ,常营,300
此房满五唯一，装修花了25万左右，集中供暖，近地铁,必看好房,鸿顺园西区 ,良乡,279
玺源台 2室1厅 西,必看好房,玺源台 ,广安门,826
小关北里新上，南北通透，满五唯一，精装修,必看好房,小关北里 ,惠新西街,550
无遮挡 采光好 精装修 全南向 格局方正视野好,必看好房,北京经开壹中心 ,亦庄,328
六里屯北里近地铁全明格局三居！中间楼层不临街！,必看好房,六里屯北里 ,甜水园,448
青年汇佳园二期 业主诚意出售 户型方正,必看好房,青年汇佳园 ,朝青,576
大方居满五唯一商品房东西通透楼层视野好配套齐全,必看好房,大方居 ,九棵树(家乐福),298
龙德嘉园优质两居室，满五年唯一精装修，诚心出售,必看好房,杨庄北区 ,杨庄,405
海特花园1999年，精装修，南北通透，满五年唯一,必看好房,海特花园西区 ,苹果园,405
此房三面朝南，采光充足，户型方正居住舒适,必看好房,远洋一方润园6号院 ,双桥,365
开阳里五区 南北通透 中间楼层 优质两居 满五年唯一,必看好房,开阳里五区 ,北京南站,520
东城区 景泰东里 东向一居室 近地铁 有电梯,必看好房,景泰东里 ,蒲黄榆,480
gogo新世代高楼层朝西一居室，精装修，楼下双地铁,必看好房,gogo新世代 ,方庄,308
玉桥北里，低楼层两居室，诚心出售，随时看房随时签约,必看好房,玉桥北里 ,乔庄,214
美然动力A3区，集中供暖，6号线褡裢坡，南北通透,必看好房,美然动力A3区 ,定福庄,400
京品小区 1室1厅 东北,必看好房,京品小区 ,西罗园,420
